"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"3 IRMÃOS ALIMENTÍCIOS LTDA";"PIZZARIA AL PAPONE";"06.726.374/0001-75";"Sociedade Empresária";"08/07/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";87015000;"PR";"Maringá";"Zona 04";"AV. DR. LUIZ TEIXEIRA MENDES, 1411";"(44) 3262-1800";"(44) 3262-1800";"";"";"";"18.036856.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"314 NORTE COMERCIAL DE ALIMENTOS";"314 COMERCIAL DE ALIMENTOS";"08.311.908/0001-28";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70767500;"DF";"Brasília";"Asa Norte";"SHC NOERTE QD. 314 BLOCO  B S/N PLL 03 PARTE A ";"(61) 3349-5732";"";"";"";"";"07.041917.15.0001-0";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Inglês)"
"3A - ALAMEDA ALIMENTOS ARABES LTDA";"O ÁRABE DO BRASIL";"01.187.030/0001-11";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";72015525;"DF";"Taguatinga";"Taguatinga Sul";"CSB 02 LOTE 1/4 LOJA P.M. 21";"(61) 3963-4626";"(61) 3362-8272";"romulopessoa@hotmail.com";"";"www.oarabedobrasil.com.br";"07.043983.15.0001-4";"5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"3A COSTA COMERCIO DE ALIMENTOS LTDA";"CAPITAL STEAKHOUSE";"10.970.664/0001-37";"Sociedade Empresária";"";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74223900;"GO";"Goiânia";"Setor Bueno";"AV.T-10  N°1300 Q. A LT. 10/18  SALA 312A";"(62) 3942-3634";"";"";"";"";"09.040233.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"3S COMERCIO DE ALIMENTOS LTDA";"3S COMERCIO DE ALIMENTOS";"09.180.699/0001-93";"Sociedade Empresária";"";"Micro Empresa";"Em Implantação";"Restaurantes, Cafeterias e Bares";"Restaurante";31210000;"MG";"Belo Horizonte";"Lagoinha";"AV. PRESIDENTE ANTÔNIO CARLOS, 1694";"(31) 3214-3234";"(31) 3889-6404";"";"";"";"11.043395.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"A & V COMERCIO DE MASSAS LTDA";"BONNA PIZZAS E MASSAS";"05.208.249/0001-00";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";72120270;"DF";"Taguatinga";"Taguatinga Norte";"QND 27 LT 12 AV COMERCIAL NORTE";"(61) 3355-5330";"";"contato@bonnapizza.net";"nathan@bonnapizza.net";"www.bonnapizza.net";"07.043059.15.0001-0";"5620-1/02-BUFFET; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/03-PIZZARIA (TIPO FAST-FOOD); SERVIÇO DE ALIMENTAÇÃO (Secundário)";;"("""")"
"A . L. DE CASTRO FERREIRA ME";"CHURRASCARIA SKINÃO GRILL";"14.302.428/0001-01";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";64255000;"PI";"Pedro II";"Pedro II";"AV JOSÉ LOURENÇO MOURÃO Nº 2100";"(86) 3271-1879";"";"marlacontabilidade@bol.com.br";"icivoneidecontabilidade@hotmail.com";"";"17.044276.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;"("""")"
"A BANDA - COMÉRCIO DE ALIMENTOS LTDA. - ME";"REI DO MATE";"08.214.498/0001-05";"Sociedade Empresária";"01/09/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";14010160;"SP";"Ribeirão Preto";"Centro";"RUA SÃO JOSÉ, 933 - 1º PISO - LOJA 115";"(16) 2102-7519";"";"";"";"";"26.038059.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A C B RESTAURANTE E CHOPERIA LTDA";"RESTAURANTE E CHOPERIA O BOIADEIRO";"03.191.113/0001-00";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74465539;"GO";"Goiânia";"Setor Marabá";"AV T 1 N 178 SETOR BUENO";"(62) 3251-7776";"";"";"";"";"09.043069.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(Inglês)"
"A E P MORAES ME";"RESTAURANTE TAPICANHA";"04.215.512/0001-26";"Sociedade Empresária";"07/11/2000";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";64202020;"PI";"Parnaíba";"Nossa Senhora de Fátima";"AV SÃO SEBASTIÃO Nº1902";"(86) 3322-1423";"";"churrascariatapicanha@hotmail.com";"";"";"17.037890.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Nenhuma das Opções"")"
"A F RIBEIRO";"LAREDO STEAK HOUSE";"06.226.984/0001-00";"Sociedade Empresária";"12/04/2004";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";60170001;"CE";"Fortaleza";"Aldeota";"AVENIDA DESEMBARGADOR MOREIRA, 1763 ALDEOTA";"(XX) 3268-2680";"";"";"";"";"06.035772.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A G RESTAURANTE E CHOPERIA LTDA - ME";"BOTECO DO NECO";"03.821.134/0001-61";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";87013260;"PR";"Maringá";"Zona 01";"AV. TIRADENTES, 133";"(44) 3269-1588";"";"botecodoneco@hotmail.com";"d.kemmer@hotmail.com";"www.botecodoneco.com.br";"18.038152.15.0001-6";"5611-2/02-CHOPARIA COM SERVIÇO COMPLETO (Primário)";200;"(""Inglês,Espanhol"")"
"A GALVANI SORVETE EXPRESSO ME";"LA CREME SORVETERIA E CAFETERIA";"12.079.515/0001-08";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";78700075;"MT";"Rondonópolis";"Centro";"AV. MARECHAL RONDON, 1027 A";"(66) 3423-3149";"";"";"";"";"13.041818.15.0001-5";"5611-2/03-CALDO DE CANA; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"A K A PARLAMENTO COMERCIO DE ALIMENTOS LTDA ME";"PARLAMENTO MASSAS E SUSHIS";"11.458.565/0001-33";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71050621;"DF";"Guará";"Guará II";"QE 15 BLOCO B LOJA 2 ";"(61) 8566-3776";"";"restauranteparlamento@gmail.com";"";"";"07.045076.15.0001-0";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário)";90;"(""Nenhuma das Opções"")"
"A M P RAQUEL ME";"VITORIA GRILL";"63.313.779/0001-15";"Sociedade Empresária";"20/09/1990";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";60720080;"CE";"Fortaleza";"Parangaba";"RUA SETE DE SETEMBRO, 132 A";"(85) 3094-0558";"(85) 3292-8263";"";"";"";"06.037933.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"A MARQUES";"NIPPON BAR";"11.191.887/0001-69";"Sociedade Empresária";"29/09/2009";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";78600000;"MT";"Barra do Garças";"Barra do Garças";"RUA JOSE VALERIANO COSTA, Nº 10, CIDADE VELHA";"(66) 3401-1539";"";"nipponbar@hotmail.com";"";"";"13.035466.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";140;"(Japonês)"
"A O MACHADO SORVETERIA ME";"SORVETERIA DELICIA";"72.620.321/0001-08";"Sociedade Empresária";"13/10/1994";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";73360410;"DF";"Planaltina";"Setor Residencial Leste";"CONDOMINIO ARAPOANGA QD 02 CONJUNTO H LOTE 07";"(XX) 3489-1979";"";"";"";"";"07.038003.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A P EMPREENDIMENTOS TURÍSTICOS LTDA";"BOTECO CAMPINA GRANDE";"07.802.477/0001-30";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";58104738;"PB";"Campina Grande";"José Pinheiro";"AV. SEVERINO BEZERRA CABRAL, ";"(83) 3337-2104";"";"";"";"";"15.038059.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A P SETTI NOGUEIRA LTDA-ME";"RESTAURANTE VICTÓRIA";"08.370.437/0001-29";"Sociedade Empresária";"20/10/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";77021050;"TO";"Palmas";"Plano Diretor Sul";"103 SUL, AV JK, CONJ. 01, LOTE 11A";"(63) 3026-1219";"(63) 3026-1219";"";"";"";"27.037140.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A S ACHCAR";"DOS CALANGOS";"03.560.558/0001-10";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";59178000;"RN";"Tibau do Sul";"Tibau do Sul";"AV. BAIA DOS GOLFINHOS, 71";"(84) 3246-2429";"(84) 9983-7333";"andrecalangos@uol.com.br";"";"";"20.042577.15.0001-0";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário), 9003-5/00-CASA DE ESPETÁCULOS (Secundário)";;"("""")"
"A TABACARIA LTDA";"A TABACARIA ";"08.334.356/0001-73";"Sociedade Empresária";"04/10/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";30220140;"MG";"Belo Horizonte";"Serra";"RUA BERNARDO FIGUEIREDO, 230";"";"";"";"";"";"11.033772.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A TOSCANA COMÉRCIO DE PRODUTOS ALIMENTÍCIOS E SERVIÇOS LTDA";"PIZZARIA TOSCANA";"01.127.575/0001-32";"Sociedade Empresária";"08/05/1996";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";36600000;"MG";"Bicas";"Bicas";"RUA CAPITÃO PEDRO DE ASSIS AMARAL Nº 6";"(32) 3271-2123";"";"";"";"WWW.TOSCANABUFFET.COM.BR";"11.043209.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A&C COMERCIO DE ALIMENTOS LTDA";"SUBWAY";"11.569.990/0001-08";"Sociedade Empresária";"15/04/2010";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";30170000;"MG";"Belo Horizonte";"Centro";"AV. ALVARES CABRAL, 780 LJ 07";"(31) 2514-5503";"";"";"";"";"11.036333.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A&M COMERCIO DE ALIMENTOS LTDA";"GIRAFFAS";"01.140.187/0001-91";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70773530;"DF";"Brasília";"Asa Norte";"CLN 116 BLOCO D LOJAS 04/08";"(61) 3273-6144";"(61) 3273-6144";"";"";"";"07.042732.15.0001-0";"5611-2/03-FAST-FOOD; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"A. GALVANI & GALVANI LTDA - ME";"TOKA DO AÇAÍ";"09.599.645/0001-67";"Sociedade Empresária";"25/08/2006";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78740200;"MT";"Rondonópolis";"Vila Aurora";"AV. DOM PEDRO II, 1046";"(66) 3422-7647";"";"monebaetz@hotmail.com";"";"";"13.041804.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";50;"(""Inglês,Espanhol"")"
"A. JOAQUIM MACHADO EUGENIO - ME";"ENCANTOS DO VELHO CHICO";"00.877.260/0001-40";"Sociedade Empresária";"";"Micro Empresa";"Em Implantação";"Restaurantes, Cafeterias e Bares";"Restaurante";57210000;"AL";"Piaçabuçu";"Piaçabuçu";"RODOVIA AL 101 SUL";"(82) 9983-7522";"";"";"";"";"02.039281.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL FAZENDA (Secundário)";;"("""")"
"A. S. MOURA & CIA LTDA";"CARVÃO GRILL";"08.233.615/0001-70";"Sociedade Empresária";"18/08/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78050050;"MT";"Cuiabá";"Bosque da Saúde";"RUA ESMERALDA, 677";"(65) 3023-1070";"";"";"";"WWW.CARVAOGRILL.COM.BR";"13.036695.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A. SCHÜHLI & CIA LTDA";"RESTAURANTE DO ALEMÃO";"11.478.371/0001-08";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";85801170;"PR";"Cascavel";"Centro";"RUA MARECHAL CÂNDIDO RONDON, 2021 SALAS 02, 03 E  04";"(45) 3035-2040";"(45) 3035-2040";"";"";"";"18.040023.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Alemão,Inglês,Espanhol"")"
"A.C DA SILVA ARAUJO";"PORKINHO GRILL";"09.386.192/0001-90";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";75905650;"GO";"Rio Verde";"Parque Bandeirante";"AV. PEDRO LUDOVICO TEIXEIRA  Nº989  QD.40LT.01,02 E 03";"(64) 3623-2709";"";"porkinhosgrill@hotmail.com";"";"";"09.041027.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(Espanhol)"
"A.E. DE CASTRO - PIZZARIA";"CANTINA DI MICHELLI";"10.827.077/0001-93";"Sociedade Empresária";"14/05/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";85801020;"PR";"Cascavel";"Centro";"RUA SÃO PAULO, 1291";"(45) 3224-3095";"";"";"";"";"18.036361.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A.P.G FEITOSA - ME";"CHURRASCARIA PRESIDENTE";"05.333.782/0001-02";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76550000;"GO";"Porangatu";"Porangatu";"R 02 POSTO PRESIDENTE S/N ESQ. ROD. BR 153 S. TUPACIGUARA";"(62) 3362-4650";"";"postoechurrascariapresidente@hotmail.com";"";"";"09.041567.15.0001-3";"5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Primário)";0;"(Espanhol)"
"AAL - ALIMENTOS ARABES LTDA";"O ARABE DO BRASIL";"00.867.203/0001-80";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71219900;"DF";"Guará";"Zona Industrial";"SAI/SO QUADRA A1 LOTE 6580 LOJA 247 A1/B";"(61) 3361-8283";"(61) 3362-8272";"romulopessoa@hotmail.com";"";"www.oarabedobrasil.com.br";"07.043981.15.0001-0";"5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"ABREU E MACIEL LTDA";"SUBWAY GOETHE";"08.490.863/0001-04";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";90430100;"RS";"Porto Alegre";"Rio Branco";"AV GOETHE, 09  LOJA  202";"(51) 3019-0949";"";"";"";"";"23.041684.15.0001-0";"5611-2/03-FAST-FOOD; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Inglês)"
"ABREU E QUEIROZ COMERCIAL DE ALIMENTOS LTDA";"SANTA BRASA";"97.549.437/0001-10";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71918000;"DF";"Taguatinga";"Norte (Águas Claras)";"RUA DAS PAINEIRAS LOTE 06 LJ 08 E 09";"(61) 8131-5590";"";"";"";"";"07.044162.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ACADEMIA DE TENIS DE ITABIRITO LTDA";"ACADEMIA DE TENIS DE ITABIRITO";"71.348.221/0001-01";"Sociedade Empresária";"";"Pequeno Porte";"Em Implantação";"Restaurantes, Cafeterias e Bares";"Restaurante";35450000;"MG";"Itabirito";"Itabirito";"RUA SETE LAGOAS, 310, MONTE SINAI";"(31) 3561-2884";"";"";"";"";"11.043244.15.0001-8";"5611-2/02-CASAS DE CHÁ (Primário), 5510-8/01-HOTEL (Secundário)";;"("""")"
"AÇAI RESTAURANTE LTDA";"AÇAI E CIA";"02.025.470/0001-35";"Sociedade Empresária";"07/08/1977";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69053130;"AM";"Manaus";"Nossa Senhora das Graças";"RUA ACRE NR 98";"(92) 3584-0188";"";"";"";"";"03.036018.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ACINOM LANCHES LTDA";"SPHODYNICK LANCHES";"30.156.970/0001-41";"Sociedade Empresária";"02/04/1986";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";27700000;"RJ";"Vassouras";"Vassouras";"AV. EXPEDICIONARIO OSWALDO DE ALMEIDA RAMOS - N.° 86";"(24) 2471-3103";"";"";"";"";"19.037511.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ACR COMERCIO DE ALIMENTOS LTDA";"PIZZA PARLOR";"08.606.385/0001-47";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29160161;"ES";"Serra";"Eurico Salles";"AV JOAO PALACIOS, 300, LOJA 102-B";"(27) 3320-6286";"";"";"";"";"08.042700.15.0001-8";"5611-2/03-PIZZARIA (TIPO FAST-FOOD); SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"ACUSTIC 486 BAR E LANCHONETE LTDA. ME";"ADEGA VILLAS BOAS";"06.871.631/0001-62";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";20511030;"RJ";"Rio de Janeiro";"Maracanã";"R SANTA LUIZA 486";"(21) 3238-1748";"";"";"";"";"19.039826.15.0001-0";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"ADALBERTO BARBOSA MARQUES VERAS CACHAÇARIA LTDA";"ADEGA DA CACHAÇA";"01.476.333/0001-54";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";72010010;"DF";"Taguatinga";"Taguatinga Centro";"C 01 LOTE 11 LOJAS 04 E 05";"(61) 3964-0882";"(61) 3964-0883";"secondsdc@hotmail.com";"alessandro-pimentel@hotmail.com";"www.adegadacachaca.com";"07.044016.15.0001-7";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";;"("""")"
"ADEGA DA CACHACA RESTAURANTE LTDA ME";"ADEGA DA CACHACA";"13.675.797/0001-79";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";71900100;"DF";"Taguatinga";"Norte (Águas Claras)";"AV DAS CASTANHEIRAS LOTE 1060 LOJA 35 - TERREO";"(61) 3964-0882";"(61) 3964-0883";"secondsdc@hotmail.com";"alessandro-pimentel@hotmail.com";"www.adegadacachaca.com";"07.043964.15.0001-9";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";;"("""")"
"ADEGILDO PEIXOTO DE SOUZA E CIA LTDA - ME";"CHURRASCARIA DOM PIXOTE";"04.958.272/0001-50";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79550000;"MS";"Costa Rica";"Costa Rica";"AVENIDA JOSÉ FERREIRA DA COSTA, 400";"(67) 3247-1962";"(67) 3247-1315";"churrascariadompixote.28@hotmail.com";"";"";"12.041977.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";250;"(""Nenhuma das Opções"")"
"ADEIDE WANDER MOREN MARCAL";"PAULU´S GALLETOS";"06.261.682/0001-72";"Sociedade Empresária";"14/06/2006";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";29200640;"ES";"Guarapari";"Parque da Areia Preta";"RUA CARLOS SANTANA, 118";"(27) 3361-6970";"(27) 3361-6970";"";"";"";"08.037234.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
